NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,CO_ENTIDADE,TP_DEPENDENCIA,REDE,TP_LOCALIZACAO,TP_SITUACAO_FUNCIONAMENTO,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_TABLET_ALUNO,QT_TABLET_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,TP_REDE_LOCAL,IN_BANDA_LARGA,IN_REGULAR,QT_MAT_BAS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_TUR_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_MED,QT_MAT_PROF,QT_MAT_PROF_TEC,QT_MAT_EJA,QT_MAT_EJA_FUND,QT_MAT_EJA_MED,QT_MAT_ESP,QT_MAT_ESP_CC,QT_MAT_ESP_CE,mat_maior_turno,maior_turno,proxy_maior_turno,TCP_DOWN_MBPS,LAST_MEASURE2,n_disp_est,est_por_disp,nivel_dispos,i_dispos,vel_est,i_conec_simet,ano,Competência,versao,base,data_quest,i_comp,soma_i,i_viab,tam_esc,in_INF,in_FUND_AI,in_FUND_AF,atend_etapas0,apoio_IEC,apoio_CIEB,assessoria_cieb0,Destinação,Vl Devido Custeio,Vl Devido Capital,Vl Devido Total,Vl Ajuste Custeio,Vl Ajuste Capital,Vl Ajuste Total,Vl Final Devido Total,Vl Pago Custeio,Vl Pago Capital,Valor Pago Total,Data Ord. Pgto,in_MED
Pará,PA,15,Pau D'Arco,1505551,15130959,3,Municipal,2,1,1,1,0,0,0,0,0,0,0,0,NA,1,26,26,0,17,2,4,0,4,22,22,0,0,0,0,0,0,0,1,1,0,26,DIURNO,26,NA,NA,1,26,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"1.560,01","890,99","2.451,00",0,0,0,"2.451,00","1.560,01","890,99","2.451,00",13/10/2021,
Pará,PA,15,Pau D'Arco,1505551,15131572,2,Estadual,1,1,1,24,0,0,0,0,0,0,0,0,NA,1,368,247,121,16,10,0,0,0,0,0,0,368,0,0,0,0,0,3,3,0,247,DIURNO,148,"53,38",2/1/22 16:22,24,"6,166666667",2,0,"0,360675676",0,2018,1,1,CIEB,NA,0,0,0,M,,,,_EM,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,0,"3.328,00","3.328,00",0,0,0,"3.328,00",0,0,0,,EM
Pará,PA,15,Pau D'Arco,1505551,15160467,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,27,27,0,37,2,8,0,8,19,19,0,0,0,0,0,0,0,0,0,0,27,DIURNO,27,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Pará,PA,15,Pau D'Arco,1505551,15528294,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,27,27,0,2,1,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,27,DIURNO,27,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Pará,PA,15,Pau D'Arco,1505551,15534847,3,Municipal,2,1,0,0,0,0,0,0,1,1,0,2,0,1,220,220,0,9,8,27,0,27,193,79,114,0,0,0,0,0,0,3,3,0,220,DIURNO,112,NA,NA,0,NA,1,0,NA,NA,2021,2,1,MEC,9/14/21 16:55,0,1,0,M,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"1.560,01","890,99","2.451,00",0,0,0,"2.451,00","1.560,01","890,99","2.451,00",13/10/2021,
Pará,PA,15,Pau D'Arco,1505551,15539580,3,Municipal,2,1,0,0,0,0,0,0,1,0,0,9,0,1,83,83,0,18,7,9,0,9,74,36,38,0,0,0,0,0,0,0,0,0,83,DIURNO,45,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"1.560,01","890,99","2.451,00",0,0,0,"2.451,00","1.560,01","890,99","2.451,00",13/10/2021,
Pará,PA,15,Pau D'Arco,1505551,15539601,3,Municipal,1,1,1,1,1,2,0,0,1,0,0,0,1,1,249,249,0,2,10,0,0,0,249,249,0,0,0,0,0,0,0,12,12,0,249,DIURNO,129,"18,77",3/4/22 21:05,3,43,1,0,"0,145503876",0,2019,1,1,MEC,6/4/19 13:11,0,1,0,M,,EF_AI,,_EF_AI,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"1.540,00","1.788,00","3.328,00",0,0,0,"3.328,00","1.540,00","1.788,00","3.328,00",13/10/2021,
Pará,PA,15,Pau D'Arco,1505551,15570029,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,81,81,0,4,3,10,0,10,71,71,0,0,0,0,0,0,0,0,0,0,81,DIURNO,59,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Pará,PA,15,Pau D'Arco,1505551,15570185,3,Municipal,1,1,0,0,0,0,0,0,0,0,0,9,NA,1,71,71,0,5,4,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,71,DIURNO,42,NA,NA,0,NA,1,0,NA,NA,2019,1,1,MEC,5/28/19 13:14,0,0,0,P,EI,,,EI_,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"1.551,00",900,"2.451,00",0,0,0,"2.451,00","1.551,00",900,"2.451,00",13/10/2021,
Pará,PA,15,Pau D'Arco,1505551,15573095,3,Municipal,1,1,0,0,0,0,0,0,1,1,1,3,1,1,815,761,54,29,25,0,0,0,690,266,424,0,0,0,125,125,0,10,10,0,761,DIURNO,399,"82,38",3/7/22 6:46,0,NA,1,0,"0,206466165",0,2019,1,1,MEC,5/24/19 11:00,0,1,0,G,,EF_AI,EF_AF,_EF_AI_EF_AF_,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"1.800,02","2.091,98","3.892,00",0,0,0,"3.892,00","1.800,02","2.091,98","3.892,00",13/10/2021,
